NONE 	NONE 	NONE 	NONE 	OPERA 	11.10 	KUWAIT INTERNET EXCHANGE 	OPERA SOFTWARE ASA 	NOT FOUND 	IS 	B3F2CE12-CC1E-11E1-914C-00163E0300C1 	SERCH 	NIGHT
WINDOWS 	7 	NONE 	NONE 	MICROSOFT INTERNET EXPLORER 	8.0 	PLANET TECHNOLOGIES 	PLANET TECHNOLOGIES 	OVERIJSSEL 	NL 	28DA77A4-8B5A-11E0-80D1-00163E0300C1 	SERCH 	NIGHT
WINDOWS 	7 	NONE 	NONE 	MICROSOFT INTERNET EXPLORER 	8.0 	PLANET TECHNOLOGIES 	PLANET TECHNOLOGIES 	OVERIJSSEL 	NL 	28DA77A4-8B5A-11E0-80D1-00163E0300C1 	SERCH 	NIGHT
WINDOWS 	XP 	NONE 	NONE 	FIREFOX 	13.0.1 	MATRIX-ALCHEVSK 	MATRIX-ALCHEVSK 	NOT FOUND 	UA 	65207FF4-F9A7-11E0-826B-00163E0300C1 	OTHER 	NIGHT
WINDOWS 	VISTA 	NONE 	NONE 	OPERA 	12.00 	VOLIA ISP 	KYIVSKI TELEKOMUNIKATSIYNI MEREZHI LLC 	KYYIV 	UA 	65207FF4-F9A7-11E0-826B-00163E0300C1 	NONE_REF 	NIGHT
NONE 	NONE 	IPAD 	X 	SAFARI 	5.1 	COMSTAR TELECOMMUNICATIONS 	OJSC COMSTAR - UNITED TELESYSTEMS 	NOT FOUND 	RU 	66585770-722B-11DF-ABB4-0015175ECAD8 	SERCH 	NIGHT
WINDOWS 	XP 	NONE 	NONE 	MICROSOFT INTERNET EXPLORER 	8.0 	NONE 	JSC UKRTELECOM 	NOT FOUND 	UA 	E8322136-569B-11E0-AA04-00163E0300C1 	OTHER 	NIGHT
WINDOWS 	7 	NONE 	NONE 	CHROME 	20.0.1132.57 	NONE 	CHINANET ZHEJIANG PROVINCE NETWORK 	NOT FOUND 	CN 	C7E05D12-53D9-11E1-9BC9-00163E0300C1 	OTHER 	NIGHT
WINDOWS 	XP 	NONE 	NONE 	FIREFOX 	13.0.1 	COMCAST CABLE 	COMCAST CABLE 	MARYLAND 	US 	D4F72040-67F8-11DF-9C8D-0015175ECAD8 	OTHER 	NIGHT
WINDOWS 	XP 	NONE 	NONE 	FIREFOX 	13.0.1 	NONE 	INVESTELEKTROSVIAZ LTD. 	SARATOV 	RU 	803B5798-C28C-11E0-8FD9-00163E0301C1 	SERCH 	NIGHT
WINDOWS 	7 	NONE 	NONE 	FIREFOX 	13.0.1 	STC FTICOM 	LLC FTICOM 	NOT FOUND 	UA 	9B5754F8-06EA-11E1-90C6-00163E0301C1 	OTHER 	NIGHT
WINDOWS 	7 	NONE 	NONE 	OPERA 	12.00 	NONE 	FOP MIKHAILYUK YURI IVANOVITCH 	NOT FOUND 	UA 	3F957452-C660-11E1-9F5A-00163E0300C1 	SERF 	NIGHT
WINDOWS 	7 	NONE 	NONE 	OPERA 	12.00 	NONE 	NONE 	NOT FOUND 	UA 	156F0FB6-AD2B-11E0-8657-00163E0301C1 	OTHER 	NIGHT
WINDOWS 	XP 	NONE 	NONE 	FIREFOX 	13.0.1 	NONE 	JSC UKRTELECOM 	NOT FOUND 	UA 	F6990E90-EA8B-11E0-B8AC-00163E0301C1 	OTHER 	NIGHT
WINDOWS 	XP 	NONE 	NONE 	MICROSOFT INTERNET EXPLORER 	8.0 	NONE 	JSC UKRTELECOM 	KYYIVS'KA OBLAST' 	UA 	8A430444-8A40-11E1-88E0-00163E0300C1 	SERCH 	NIGHT
WINDOWS 	XP 	NONE 	NONE 	FIREFOX 	13.0.1 	FARLEP-INVEST OJSC 	VEGA IN DONETSK 	NOT FOUND 	UA 	B3F47800-9EFA-11DF-9D78-0015175ECAD8 	SERF 	NIGHT
WINDOWS 	XP 	NONE 	NONE 	FIREFOX 	13.0.1 	FARLEP-INVEST OJSC 	VEGA IN DONETSK 	NOT FOUND 	UA 	B3F47800-9EFA-11DF-9D78-0015175ECAD8 	SERF 	NIGHT
WINDOWS 	7 	NONE 	NONE 	CHROME 	20.0.1132.57 	NONE 	INVESTELEKTROSVIAZ LTD. 	MOSCOW CITY 	RU 	803B5798-C28C-11E0-8FD9-00163E0301C1 	SERCH 	NIGHT
WINDOWS 	7 	NONE 	NONE 	MICROSOFT INTERNET EXPLORER 	8.0 	NONE 	ETYPE COMPANY, KALININGRAD 	KALININGRAD 	RU 	803B5798-C28C-11E0-8FD9-00163E0301C1 	OTHER 	NIGHT
WINDOWS 	7 	NONE 	NONE 	OPERA 	11.00 	NONE 	JSC UKRTELECOM 	NOT FOUND 	UA 	EA120AC2-C3CB-11E1-88AA-00163E0301C1 	SERCH 	NIGHT
WINDOWS 	XP 	NONE 	NONE 	OPERA 	12.00 	NONE 	JSC UKRTELECOM 	KHARKIVS'KA OBLAST' 	UA 	28F067B2-2237-11E0-B52B-00163E0300C1 	OTHER 	NIGHT
WINDOWS 	XP 	NONE 	NONE 	OPERA 	11.60 	EUROTRANSTELECOM 	TRK KADRTV 	NOT FOUND 	UA 	BEEE3DDA-FC93-11DF-97EB-00163E0300C1 	SERCH 	NIGHT
WINDOWS 	XP 	NONE 	NONE 	FIREFOX 	13.0.1 	NONE 	NONE 	NOT FOUND 	NOT FOUND 	156F0FB6-AD2B-11E0-8657-00163E0301C1 	SERF 	NIGHT
WINDOWS 	7 	NONE 	NONE 	CHROME 	20.0.1132.57 	EUNET/FR 	PRIVATE ENTERPRISE INFORMSERVICE 	DONETS'KA OBLAST' 	UA 	A3CC06B0-63B2-11DF-8077-0015175ECAD8 	OTHER 	NIGHT
WINDOWS 	XP 	NONE 	NONE 	CHROME 	20.0.1132.57 	JSC UKRTELECOM 	JSC UKRTELECOM 	NOT FOUND 	UA 	3F957452-C660-11E1-9F5A-00163E0300C1 	SERCH 	NIGHT
